1,污水处理,本集团经营若干服务特许经营安排，据此，本集团按照授权当局所订预设条件，为授权当局开展 污水处理或供水工程。服务特许经营安排项下的污水处理厂和自来水厂可分类为无形资产或金融 资产。于本集团获得权利向公用服务使用者收取费用或授予人按照使用者使用污水处理厂和自来 水厂的情况对本集团作出补偿(但不保证将支付予本集团的金额)时分类为无形资产。倘本集团于 这些服务特许经营安排下的投资的只有部分可由授予人的付款承诺弥补，则按授予人保证的最高 金额确认为金融应收款项，而余额则确认为无形资产。如本集团根据服务特许权安排获得无条件 合约权利于特许经营期间收取可确定数额的款项，将确认金融应收款项。在初步确认后，金融应 收款项裼檬导世率法按摊销成本计量。 有关经营服务的收入根据下文收入的政策入账。
2,污水处理,处理或供水工程。服务特许经营安排项下的污水处理厂和自来水厂可分类为无形资产或金融 资产。于本集团获得权利向公用服务使用者收取费用或授予人按照使用者使用污水处理厂和自来 水厂的情况对本集团作出补偿(但不保证将支付予本集团的金额)时分类为无形资产。倘本集团于 这些服务特许经营安排下的投资的只有部分可由授予人的付款承诺弥补，则按授予人保证的最高 金额确认为金融应收款项，而余额则确认为无形资产。如本集团根据服务特许权安排获得无条件 合约权利于特许经营期间收取可确定数额的款项，将确认金融应收款项。在初步确认后，金融应 收款项裼檬导世率法按摊销成本计量。 有关经营服务的收入根据下文收入的政策入账。
3,污水处理,处理厂和自来水厂可分类为无形资产或金融 资产。于本集团获得权利向公用服务使用者收取费用或授予人按照使用者使用污水处理厂和自来 水厂的情况对本集团作出补偿(但不保证将支付予本集团的金额)时分类为无形资产。倘本集团于 这些服务特许经营安排下的投资的只有部分可由授予人的付款承诺弥补，则按授予人保证的最高 金额确认为金融应收款项，而余额则确认为无形资产。如本集团根据服务特许权安排获得无条件 合约权利于特许经营期间收取可确定数额的款项，将确认金融应收款项。在初步确认后，金融应 收款项裼檬导世率法按摊销成本计量。 有关经营服务的收入根据下文收入的政策入账。
4,污水处理,本集团经营若干服务特许经营安排，据此，本集团按照授权当局所订预设条件，为授权当局开展 污水处理或供水工程。服务特许经营安排项下的污水处理厂和自来水厂可分类为无形资产或金融 资产。于本集团获得权利向公用服务使用者收取费用或授予人按照使用者使用污水处理厂和自来 水厂的情况对本集团作出补偿(但不保证将支付予本集团的金额)时分类为无形资产。倘本集团于 这些服务特许经营安排下的投资的只有部分可由授予人的付款承诺弥补，则按授予人保证的最高 金额确认为金融应收款项，而余额则确认为无形资产。如本集团根据服务特许权安排获得无条件 合约权利于特许经营期间收取可确定数额的款项，将确认金融应收款项。在初步确认后，金融应 收款项裼檬导世率法按摊销成本计量。
5,污水处理,处理或供水工程。服务特许经营安排项下的污水处理厂和自来水厂可分类为无形资产或金融 资产。于本集团获得权利向公用服务使用者收取费用或授予人按照使用者使用污水处理厂和自来 水厂的情况对本集团作出补偿(但不保证将支付予本集团的金额)时分类为无形资产。倘本集团于 这些服务特许经营安排下的投资的只有部分可由授予人的付款承诺弥补，则按授予人保证的最高 金额确认为金融应收款项，而余额则确认为无形资产。如本集团根据服务特许权安排获得无条件 合约权利于特许经营期间收取可确定数额的款项，将确认金融应收款项。在初步确认后，金融应 收款项裼檬导世率法按摊销成本计量。
6,污水处理,处理厂和自来水厂可分类为无形资产或金融 资产。于本集团获得权利向公用服务使用者收取费用或授予人按照使用者使用污水处理厂和自来 水厂的情况对本集团作出补偿(但不保证将支付予本集团的金额)时分类为无形资产。倘本集团于 这些服务特许经营安排下的投资的只有部分可由授予人的付款承诺弥补，则按授予人保证的最高 金额确认为金融应收款项，而余额则确认为无形资产。如本集团根据服务特许权安排获得无条件 合约权利于特许经营期间收取可确定数额的款项，将确认金融应收款项。在初步确认后，金融应 收款项裼檬导世率法按摊销成本计量。
7,污水处理,服务特许经营安排的列账 本集团经营若干服务特许经营安排，据此，本集团按照授权当局所订预设条件，为授权当局开展 污水处理或供水工程。服务特许经营安排项下的污水处理厂和自来水厂可分类为无形资产或金融 资产。于本集团获得权利向公用服务使用者收取费用或授予人按照使用者使用污水处理厂和自来 水厂的情况对本集团作出补偿(但不保证将支付予本集团的金额)时分类为无形资产。倘本集团于 这些服务特许经营安排下的投资的只有部分可由授予人的付款承诺弥补，则按授予人保证的最高 金额确认为金融应收款项，而余额则确认为无形资产。如本集团根据服务特许权安排获得无条件 合约权利于特许经营期间收取可确定数额的款项，将确认金融应收款项。在初步确认后，金融应 收款项采用实际利率法按摊销成本计量。
8,污水处理,处理或供水工程。服务特许经营安排项下的污水处理厂和自来水厂可分类为无形资产或金融 资产。于本集团获得权利向公用服务使用者收取费用或授予人按照使用者使用污水处理厂和自来 水厂的情况对本集团作出补偿(但不保证将支付予本集团的金额)时分类为无形资产。倘本集团于 这些服务特许经营安排下的投资的只有部分可由授予人的付款承诺弥补，则按授予人保证的最高 金额确认为金融应收款项，而余额则确认为无形资产。如本集团根据服务特许权安排获得无条件 合约权利于特许经营期间收取可确定数额的款项，将确认金融应收款项。在初步确认后，金融应 收款项采用实际利率法按摊销成本计量。
9,污水处理,处理厂和自来水厂可分类为无形资产或金融 资产。于本集团获得权利向公用服务使用者收取费用或授予人按照使用者使用污水处理厂和自来 水厂的情况对本集团作出补偿(但不保证将支付予本集团的金额)时分类为无形资产。倘本集团于 这些服务特许经营安排下的投资的只有部分可由授予人的付款承诺弥补，则按授予人保证的最高 金额确认为金融应收款项，而余额则确认为无形资产。如本集团根据服务特许权安排获得无条件 合约权利于特许经营期间收取可确定数额的款项，将确认金融应收款项。在初步确认后，金融应 收款项采用实际利率法按摊销成本计量。
10,污水处理,根据财政部 国家税务总局关于印发《资源综合利用产品和劳务增值税优惠目录》的通知(财 税[2015]78号)规定：纳税人销售自产的资源综合利用产品和提供资源综合利用劳务，可享受 增值税即征即退政策。本公司下属子公司符合《资源综合利用产品和劳务增值税优惠目录》 中第5.2项污水处理劳务的相关规定，公司已向其主管国税局申请污水处理劳务实现的增值税 实行即征即退70%的税收优惠：
11,污水处理,处理劳务的相关规定，公司已向其主管国税局申请污水处理劳务实现的增值税 实行即征即退70%的税收优惠：
12,污水处理,武汉景川天源污水处理有限公司 金风环保（沭阳）有限公司 曹县晓清水处理有限公司
13,污水处理,(7) 符合条件的城镇污水处理企业所得税减免
14,污水处理,根据国务院发布的《中华人民共和国企业所得税法实施条例》(国务院令[2007]第512号)和《财 政部 国家税务总局 国家发展改革委关于环境保护节能节水项目企业所得税优惠目录（试 行）的通知》(财税[2009]166号)的规定，自2008年1月1日起，城镇污水处理项目在取得第一 笔生产经营收入所属纳税年度起，第一年至第三年免征企业所得税，第四年至第六年减半征 收企业所得税。因此，本公司子公司曹县晓清水处理有限公司自2014年至2016年免征企业所 得税，自2017年至2019年减半征收企业所得税，金风环保（沭阳）有限公司一期项目自2012 年至2014年免征企业所得税，自2015年至2017年减半征收企业所得税。武汉景川天源污水处 理有限公司一期项目，自2010年至2012年免征企业所得税，自2013年至2015年减半征收企业 所得税。
15,污水处理,(8) 符合条件的城镇污水处理企业增值税减免
16,污水处理,根据《财政部 国家税务总局关于资源综合利用及其他产品增值税政策的通知》(财税 [2008]156号)和《财政部 国家税务总局关于享受资源综合利用增值税优惠政策的纳税人执行 污染物排放标准有关问题的通知》(财税[2013]23号)的规定，污水处理劳务免征增值税。根 据《财政部 国家税务总局关于印发《资源综合利用产品和劳务增值税优惠目录》的通知》(财 税[2015]78号)，财税[2008]156号和财税[2013]23号于2015年7月1日废止。因此，本公司子公 司曹县晓清水处理有限公司、金风环保(沭阳)有限公司和武汉景川天源污水处理有限公司于 2015年7月1日前享受该增值税免税优惠。2015年7月1日后根据《资源综合利用产品和劳务增 值税优惠目录》的通知(财税[2015]78号)的规定，享受污水处理企业增值税即征即退70%的税 收优惠。
17,污水处理,处理劳务免征增值税。根 据《财政部 国家税务总局关于印发《资源综合利用产品和劳务增值税优惠目录》的通知》(财 税[2015]78号)，财税[2008]156号和财税[2013]23号于2015年7月1日废止。因此，本公司子公 司曹县晓清水处理有限公司、金风环保(沭阳)有限公司和武汉景川天源污水处理有限公司于 2015年7月1日前享受该增值税免税优惠。2015年7月1日后根据《资源综合利用产品和劳务增 值税优惠目录》的通知(财税[2015]78号)的规定，享受污水处理企业增值税即征即退70%的税 收优惠。
18,污水处理,处理有限公司于 2015年7月1日前享受该增值税免税优惠。2015年7月1日后根据《资源综合利用产品和劳务增 值税优惠目录》的通知(财税[2015]78号)的规定，享受污水处理企业增值税即征即退70%的税 收优惠。
19,污水处理,限公司污水处理 厂二期
20,污水处理,汉南污水处理项 目
1,污水处理,本集团经营若干服务特许经营安排，据此，本集团按照授权当局所订预设条件，为授权当局开展 污水处理或供水工程。服务特许经营安排项下的污水处理厂和自来水厂可分类为无形资产或金融 资产。于本集团获得权利向公用服务使用者收取费用或授予人按照使用者使用污水处理厂和自来 水厂的情况对本集团作出补偿(但不保证将支付予本集团的金额)时分类为无形资产。倘本集团于 这些服务特许经营安排下的投资的只有部分可由授予人的付款承诺弥补，则按授予人保证的最高 金额确认为金融应收款项，而余额则确认为无形资产。如本集团根据服务特许权安排获得无条件 合约权利于特许经营期间收取可确定数额的款项，将确认金融应收款项。在初步确认后，金融应 收款项裼檬导世率法按摊销成本计量。 有关经营服务的收入根据下文收入的政策入账。
2,污水处理,处理或供水工程。服务特许经营安排项下的污水处理厂和自来水厂可分类为无形资产或金融 资产。于本集团获得权利向公用服务使用者收取费用或授予人按照使用者使用污水处理厂和自来 水厂的情况对本集团作出补偿(但不保证将支付予本集团的金额)时分类为无形资产。倘本集团于 这些服务特许经营安排下的投资的只有部分可由授予人的付款承诺弥补，则按授予人保证的最高 金额确认为金融应收款项，而余额则确认为无形资产。如本集团根据服务特许权安排获得无条件 合约权利于特许经营期间收取可确定数额的款项，将确认金融应收款项。在初步确认后，金融应 收款项裼檬导世率法按摊销成本计量。 有关经营服务的收入根据下文收入的政策入账。
3,污水处理,处理厂和自来水厂可分类为无形资产或金融 资产。于本集团获得权利向公用服务使用者收取费用或授予人按照使用者使用污水处理厂和自来 水厂的情况对本集团作出补偿(但不保证将支付予本集团的金额)时分类为无形资产。倘本集团于 这些服务特许经营安排下的投资的只有部分可由授予人的付款承诺弥补，则按授予人保证的最高 金额确认为金融应收款项，而余额则确认为无形资产。如本集团根据服务特许权安排获得无条件 合约权利于特许经营期间收取可确定数额的款项，将确认金融应收款项。在初步确认后，金融应 收款项裼檬导世率法按摊销成本计量。 有关经营服务的收入根据下文收入的政策入账。
4,污水处理,本集团经营若干服务特许经营安排，据此，本集团按照授权当局所订预设条件，为授权当局开展 污水处理或供水工程。服务特许经营安排项下的污水处理厂和自来水厂可分类为无形资产或金融 资产。于本集团获得权利向公用服务使用者收取费用或授予人按照使用者使用污水处理厂和自来 水厂的情况对本集团作出补偿(但不保证将支付予本集团的金额)时分类为无形资产。倘本集团于 这些服务特许经营安排下的投资的只有部分可由授予人的付款承诺弥补，则按授予人保证的最高 金额确认为金融应收款项，而余额则确认为无形资产。如本集团根据服务特许权安排获得无条件 合约权利于特许经营期间收取可确定数额的款项，将确认金融应收款项。在初步确认后，金融应 收款项裼檬导世率法按摊销成本计量。
5,污水处理,处理或供水工程。服务特许经营安排项下的污水处理厂和自来水厂可分类为无形资产或金融 资产。于本集团获得权利向公用服务使用者收取费用或授予人按照使用者使用污水处理厂和自来 水厂的情况对本集团作出补偿(但不保证将支付予本集团的金额)时分类为无形资产。倘本集团于 这些服务特许经营安排下的投资的只有部分可由授予人的付款承诺弥补，则按授予人保证的最高 金额确认为金融应收款项，而余额则确认为无形资产。如本集团根据服务特许权安排获得无条件 合约权利于特许经营期间收取可确定数额的款项，将确认金融应收款项。在初步确认后，金融应 收款项裼檬导世率法按摊销成本计量。
6,污水处理,处理厂和自来水厂可分类为无形资产或金融 资产。于本集团获得权利向公用服务使用者收取费用或授予人按照使用者使用污水处理厂和自来 水厂的情况对本集团作出补偿(但不保证将支付予本集团的金额)时分类为无形资产。倘本集团于 这些服务特许经营安排下的投资的只有部分可由授予人的付款承诺弥补，则按授予人保证的最高 金额确认为金融应收款项，而余额则确认为无形资产。如本集团根据服务特许权安排获得无条件 合约权利于特许经营期间收取可确定数额的款项，将确认金融应收款项。在初步确认后，金融应 收款项裼檬导世率法按摊销成本计量。
7,污水处理,服务特许经营安排的列账 本集团经营若干服务特许经营安排，据此，本集团按照授权当局所订预设条件，为授权当局开展 污水处理或供水工程。服务特许经营安排项下的污水处理厂和自来水厂可分类为无形资产或金融 资产。于本集团获得权利向公用服务使用者收取费用或授予人按照使用者使用污水处理厂和自来 水厂的情况对本集团作出补偿(但不保证将支付予本集团的金额)时分类为无形资产。倘本集团于 这些服务特许经营安排下的投资的只有部分可由授予人的付款承诺弥补，则按授予人保证的最高 金额确认为金融应收款项，而余额则确认为无形资产。如本集团根据服务特许权安排获得无条件 合约权利于特许经营期间收取可确定数额的款项，将确认金融应收款项。在初步确认后，金融应 收款项采用实际利率法按摊销成本计量。
8,污水处理,处理或供水工程。服务特许经营安排项下的污水处理厂和自来水厂可分类为无形资产或金融 资产。于本集团获得权利向公用服务使用者收取费用或授予人按照使用者使用污水处理厂和自来 水厂的情况对本集团作出补偿(但不保证将支付予本集团的金额)时分类为无形资产。倘本集团于 这些服务特许经营安排下的投资的只有部分可由授予人的付款承诺弥补，则按授予人保证的最高 金额确认为金融应收款项，而余额则确认为无形资产。如本集团根据服务特许权安排获得无条件 合约权利于特许经营期间收取可确定数额的款项，将确认金融应收款项。在初步确认后，金融应 收款项采用实际利率法按摊销成本计量。
9,污水处理,处理厂和自来水厂可分类为无形资产或金融 资产。于本集团获得权利向公用服务使用者收取费用或授予人按照使用者使用污水处理厂和自来 水厂的情况对本集团作出补偿(但不保证将支付予本集团的金额)时分类为无形资产。倘本集团于 这些服务特许经营安排下的投资的只有部分可由授予人的付款承诺弥补，则按授予人保证的最高 金额确认为金融应收款项，而余额则确认为无形资产。如本集团根据服务特许权安排获得无条件 合约权利于特许经营期间收取可确定数额的款项，将确认金融应收款项。在初步确认后，金融应 收款项采用实际利率法按摊销成本计量。
10,污水处理,根据财政部 国家税务总局关于印发《资源综合利用产品和劳务增值税优惠目录》的通知(财 税[2015]78号)规定：纳税人销售自产的资源综合利用产品和提供资源综合利用劳务，可享受 增值税即征即退政策。本公司下属子公司符合《资源综合利用产品和劳务增值税优惠目录》 中第5.2项污水处理劳务的相关规定，公司已向其主管国税局申请污水处理劳务实现的增值税 实行即征即退70%的税收优惠：
11,污水处理,处理劳务的相关规定，公司已向其主管国税局申请污水处理劳务实现的增值税 实行即征即退70%的税收优惠：
12,污水处理,武汉景川天源污水处理有限公司 金风环保（沭阳）有限公司 曹县晓清水处理有限公司
13,污水处理,(7) 符合条件的城镇污水处理企业所得税减免
14,污水处理,根据国务院发布的《中华人民共和国企业所得税法实施条例》(国务院令[2007]第512号)和《财 政部 国家税务总局 国家发展改革委关于环境保护节能节水项目企业所得税优惠目录（试 行）的通知》(财税[2009]166号)的规定，自2008年1月1日起，城镇污水处理项目在取得第一 笔生产经营收入所属纳税年度起，第一年至第三年免征企业所得税，第四年至第六年减半征 收企业所得税。因此，本公司子公司曹县晓清水处理有限公司自2014年至2016年免征企业所 得税，自2017年至2019年减半征收企业所得税，金风环保（沭阳）有限公司一期项目自2012 年至2014年免征企业所得税，自2015年至2017年减半征收企业所得税。武汉景川天源污水处 理有限公司一期项目，自2010年至2012年免征企业所得税，自2013年至2015年减半征收企业 所得税。
15,污水处理,(8) 符合条件的城镇污水处理企业增值税减免
16,污水处理,根据《财政部 国家税务总局关于资源综合利用及其他产品增值税政策的通知》(财税 [2008]156号)和《财政部 国家税务总局关于享受资源综合利用增值税优惠政策的纳税人执行 污染物排放标准有关问题的通知》(财税[2013]23号)的规定，污水处理劳务免征增值税。根 据《财政部 国家税务总局关于印发《资源综合利用产品和劳务增值税优惠目录》的通知》(财 税[2015]78号)，财税[2008]156号和财税[2013]23号于2015年7月1日废止。因此，本公司子公 司曹县晓清水处理有限公司、金风环保(沭阳)有限公司和武汉景川天源污水处理有限公司于 2015年7月1日前享受该增值税免税优惠。2015年7月1日后根据《资源综合利用产品和劳务增 值税优惠目录》的通知(财税[2015]78号)的规定，享受污水处理企业增值税即征即退70%的税 收优惠。
17,污水处理,处理劳务免征增值税。根 据《财政部 国家税务总局关于印发《资源综合利用产品和劳务增值税优惠目录》的通知》(财 税[2015]78号)，财税[2008]156号和财税[2013]23号于2015年7月1日废止。因此，本公司子公 司曹县晓清水处理有限公司、金风环保(沭阳)有限公司和武汉景川天源污水处理有限公司于 2015年7月1日前享受该增值税免税优惠。2015年7月1日后根据《资源综合利用产品和劳务增 值税优惠目录》的通知(财税[2015]78号)的规定，享受污水处理企业增值税即征即退70%的税 收优惠。
18,污水处理,处理有限公司于 2015年7月1日前享受该增值税免税优惠。2015年7月1日后根据《资源综合利用产品和劳务增 值税优惠目录》的通知(财税[2015]78号)的规定，享受污水处理企业增值税即征即退70%的税 收优惠。
19,污水处理,限公司污水处理 厂二期
20,污水处理,汉南污水处理项 目
